pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CH,2019/9/24,85.5,-3.3191,5.2385,Max Scherzer,514917,453286,null,ball,,,,,14,null,R,L,R,WSH,PHI,B,null,null,2,1,2019,-1.5319,0.1084,0.6467,1.0971,null,null,null,2,5,Top,null,null,,,543228,,190925_003944,12.3143,-123.8615,-3.6214,-18.0859,24.3575,-30.5752,3.3445,1.6484,null,null,null,84.934,1518,6.134,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.3654,null,null,null,null,null,null,null,38,4,Changeup,2,4,4,2,4,2,4,2,Standard,Standard
FF,2019/9/24,94.3,-3.2563,5.3941,Max Scherzer,514917,453286,null,ball,,,,,12,null,R,L,R,WSH,PHI,B,null,null,1,1,2019,-1.0987,1.3225,1.1193,3.5011,null,null,null,2,5,Top,null,null,,,543228,,190925_003926,13.6885,-136.5919,-2.0723,-16.6522,29.979,-15.5157,3.402,1.6484,null,null,null,93.61,2447,6.129,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.3703,null,null,null,null,null,null,null,38,3,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard
CU,2019/9/24,79.5,-3.2392,5.4228,Max Scherzer,514917,453286,null,called_strike,,,,,4,null,R,L,R,WSH,PHI,S,null,null,1,0,2019,0.9645,-0.4686,-0.3285,2.4641,null,null,null,2,5,Top,null,null,,,543228,,190925_003905,4.5633,-115.5657,1.1531,7.6215,22.077,-36.7638,3.3039,1.4764,null,null,null,78.793,2586,5.908,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.5916,null,null,null,null,null,null,null,38,2,Curveball,2,4,4,2,4,2,4,2,Standard,Standard
FF,2019/9/24,92.2,-3.2803,5.3444,Max Scherzer,514917,453286,null,ball,,,,,14,null,R,L,R,WSH,PHI,B,null,null,0,0,2019,-1.1295,1.1972,0.5278,1.1954,null,null,null,2,5,Top,null,null,,,543228,,190925_003849,11.9352,-133.5111,-7.1526,-15.7867,27.4602,-16.8002,3.3445,1.5624,null,null,null,91.244,2356,5.882,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.6171,null,null,null,null,null,null,null,38,1,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard
SL,2019/9/24,83,-3.5311,5.0589,Max Scherzer,605400,453286,strikeout,called_strike,,,,,5,Aaron Nola called out on strikes.  ,R,R,R,WSH,PHI,S,2,null,0,2,2019,0.5974,-0.0905,0.0642,2.1908,null,null,null,1,5,Top,null,null,,,543228,,190925_003811,7.0289,-120.7125,0.0813,4.4176,23.2457,-33.2949,3.1144,1.3332,null,null,null,82.54,2430,5.987,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.512,null,null,0,1,0,0,null,37,3,Slider,2,4,4,2,4,2,4,2,Standard,Standard
SL,2019/9/24,84,-3.5161,5.1575,Max Scherzer,605400,453286,null,swinging_strike,,,,,9,null,R,R,R,WSH,PHI,S,null,null,0,1,2019,0.4994,0.0824,0.6194,2.0348,null,null,null,1,5,Top,null,null,,,543228,,190925_003750,8.5297,-122.101,-1.0067,3.3324,22.8867,-31.3993,3.2869,1.5051,null,null,null,83.456,2424,5.882,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.6177,null,null,null,null,null,null,null,37,2,Slider,2,4,4,2,4,2,4,2,Standard,Standard
FF,2019/9/24,92.6,-3.3452,5.2828,Max Scherzer,605400,453286,null,called_strike,,,,,9,null,R,R,R,WSH,PHI,S,null,null,0,0,2019,-1.2215,1.1402,0.3585,2.0696,null,null,null,1,5,Top,null,null,,,543228,,190925_003736,12.0104,-134.2845,-4.8186,-17.184,27.7356,-17.6697,3.3157,1.5338,null,null,null,92.161,2400,6.113,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.3862,null,null,null,null,null,null,null,37,1,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard
CH,2019/9/24,83.9,-3.4453,5.1968,Max Scherzer,595284,453286,strikeout,called_strike,,,,,8,Andrew Knapp called out on strikes.  ,R,L,R,WSH,PHI,S,2,null,1,2,2019,-1.2445,-0.0103,0.1086,1.6212,null,null,null,0,5,Top,null,null,,,543228,,190925_003704,10.6161,-121.8362,-1.8876,-14.2643,21.0294,-32.1471,3.1719,1.4191,null,null,null,83.984,1576,6.187,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.3123,null,null,0,1,0,0,null,36,4,Changeup,2,4,4,2,4,2,4,2,Infield shift,Standard
CH,2019/9/24,83,-3.2777,5.3296,Max Scherzer,595284,453286,null,ball,,,,,14,null,R,L,R,WSH,PHI,B,null,null,0,2,2019,-1.2734,0.2286,0.2509,0.6224,null,null,null,0,5,Top,null,null,,,543228,,190925_003640,10.5101,-120.4909,-4.7701,-14.253,20.5406,-29.3173,3.0857,1.3905,null,null,null,83.126,1322,6.231,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.2686,null,null,null,null,null,null,null,36,3,Changeup,2,4,4,2,4,2,4,2,Infield shift,Standard
FC,2019/9/24,89.3,-3.4454,5.2334,Max Scherzer,595284,453286,null,foul,,,,,2,null,R,L,R,WSH,PHI,S,null,null,0,1,2019,0.0234,0.8236,0.1889,2.9706,null,null,null,0,5,Top,null,null,,,543228,,190925_003605,8.8274,-129.8752,-1.3058,-1.3828,24.2023,-22.8933,3.2294,1.5624,null,null,null,89.021,2468,5.9,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.5994,null,null,null,null,null,null,null,36,2,Cutter,2,4,4,2,4,2,4,2,Infield shift,Standard
